especie	pel	sexo	crc	Ctmin	Ctmax	data
T_oreadicus	1404	F	46	15.4	41.6	14/10/2020
T_oreadicus	1418	F	63	18	40	08/07/2020
T_oreadicus	1507	M	74	14.4	40.6	15/10/2020
T_oreadicus	1628	F	70	12	41	14/10/2020
T_oreadicus	1713	F	55	12	31.6	25/03/2021
T_oreadicus	1743	F	55	13.4	42.8	24/03/2021
T_oreadicus	1763	F	54	13.4	41	26/03/2021
T_oreadicus	1756	F	58	13.4	41	26/03/2021
T_oreadicus	1801	M	55	15	40	20/05/2021
T_oreadicus	1741	F	55	17	40	20/05/2021
T_oreadicus	1807	F	55	14	42.4	21/07/2021
T_oreadicus	1865	M	70	13.4	43.6	21/07/2021
T_oreadicus	1861	M	62	14	42	20/07/2021
T_oreadicus	1831	M	67	15	40.2	20/07/2021
T_oreadicus	1902	F	51.5	15.2	41.4	03/08/2021
T_oreadicus	1398	F	74	12	42	03/08/2021
T_oreadicus	1770	F	60	13	42.6	03/08/2021
T_oreadicus	1901	F	65	12.2	42.4	03/08/2021
T_oreadicus	1917	M	75	20	42	15/09/2021
T_oreadicus	1918	F	70	14	39	15/09/2021
