temp	sp	pel	data
33.16	M_maximiliani	1896	03/08/2021
33.32	M_maximiliani	1896	03/08/2021
33.47	M_maximiliani	1896	03/08/2021
33.49	M_maximiliani	1896	03/08/2021
33.48	M_maximiliani	1896	03/08/2021
33.59	M_maximiliani	1896	03/08/2021
33.86	M_maximiliani	1896	03/08/2021
33.83	M_maximiliani	1896	03/08/2021
34.07	M_maximiliani	1896	03/08/2021
33.67	M_maximiliani	1896	03/08/2021
33.91	M_maximiliani	1896	03/08/2021
33.91	M_maximiliani	1896	03/08/2021
34.13	M_maximiliani	1896	03/08/2021
34.18	M_maximiliani	1896	03/08/2021
34.42	M_maximiliani	1896	03/08/2021
34.64	M_maximiliani	1896	03/08/2021
34.68	M_maximiliani	1896	03/08/2021
34.55	M_maximiliani	1896	03/08/2021
34.66	M_maximiliani	1896	03/08/2021
34.7	M_maximiliani	1896	03/08/2021
34.63	M_maximiliani	1896	03/08/2021
34.67	M_maximiliani	1896	03/08/2021
34.7	M_maximiliani	1896	03/08/2021
34.76	M_maximiliani	1896	03/08/2021
34.78	M_maximiliani	1896	03/08/2021
34.71	M_maximiliani	1896	03/08/2021
34.88	M_maximiliani	1896	03/08/2021
35.05	M_maximiliani	1896	03/08/2021
34.95	M_maximiliani	1896	03/08/2021
34.93	M_maximiliani	1896	03/08/2021
25.73	M_maximiliani	1896	03/08/2021
30.37	M_maximiliani	1896	03/08/2021
26.34	M_maximiliani	1896	03/08/2021
28.96	M_maximiliani	1896	03/08/2021
26.3	M_maximiliani	1896	03/08/2021
26.2	M_maximiliani	1896	03/08/2021
26.16	M_maximiliani	1896	03/08/2021
26.3	M_maximiliani	1896	03/08/2021
27.95	M_maximiliani	1896	03/08/2021
27.88	M_maximiliani	1896	03/08/2021
28.11	M_maximiliani	1896	03/08/2021
29.4	M_maximiliani	1896	03/08/2021
29.15	M_maximiliani	1896	03/08/2021
31.32	M_maximiliani	1896	03/08/2021
31.95	M_maximiliani	1896	03/08/2021
31.64	M_maximiliani	1896	03/08/2021
32.22	M_maximiliani	1896	03/08/2021
31.02	M_maximiliani	1896	03/08/2021
33.46	M_maximiliani	1896	03/08/2021
30.9	M_maximiliani	1896	03/08/2021
29.57	M_maximiliani	1896	03/08/2021
33.47	M_maximiliani	1896	03/08/2021
31.14	M_maximiliani	1896	03/08/2021
35.21	M_maximiliani	1896	03/08/2021
33.83	M_maximiliani	1896	03/08/2021
35.42	M_maximiliani	1896	03/08/2021
35.06	M_maximiliani	1896	03/08/2021
34.98	M_maximiliani	1896	03/08/2021
35.15	M_maximiliani	1896	03/08/2021
35.15	M_maximiliani	1896	03/08/2021
32.71	C_modesta	1895	03/08/2021
32.95	C_modesta	1895	03/08/2021
33.15	C_modesta	1895	03/08/2021
33.02	C_modesta	1895	03/08/2021
33.35	C_modesta	1895	03/08/2021
33.08	C_modesta	1895	03/08/2021
33.37	C_modesta	1895	03/08/2021
33.53	C_modesta	1895	03/08/2021
33.85	C_modesta	1895	03/08/2021
33.72	C_modesta	1895	03/08/2021
33.55	C_modesta	1895	03/08/2021
33.87	C_modesta	1895	03/08/2021
33.98	C_modesta	1895	03/08/2021
34.25	C_modesta	1895	03/08/2021
33.6	C_modesta	1895	03/08/2021
34.17	C_modesta	1895	03/08/2021
34.53	C_modesta	1895	03/08/2021
34.53	C_modesta	1895	03/08/2021
34.49	C_modesta	1895	03/08/2021
34.58	C_modesta	1895	03/08/2021
34.51	C_modesta	1895	03/08/2021
34.52	C_modesta	1895	03/08/2021
34.58	C_modesta	1895	03/08/2021
34.58	C_modesta	1895	03/08/2021
34.59	C_modesta	1895	03/08/2021
34.7	C_modesta	1895	03/08/2021
34.82	C_modesta	1895	03/08/2021
34.86	C_modesta	1895	03/08/2021
34.88	C_modesta	1895	03/08/2021
34.93	C_modesta	1895	03/08/2021
35.03	C_modesta	1895	03/08/2021
35.03	C_modesta	1895	03/08/2021
35.05	C_modesta	1895	03/08/2021
34.97	C_modesta	1895	03/08/2021
35.06	C_modesta	1895	03/08/2021
35.08	C_modesta	1895	03/08/2021
35.17	C_modesta	1895	03/08/2021
35.08	C_modesta	1895	03/08/2021
35.07	C_modesta	1895	03/08/2021
35.2	C_modesta	1895	03/08/2021
35.18	C_modesta	1895	03/08/2021
35.12	C_modesta	1895	03/08/2021
35.08	C_modesta	1895	03/08/2021
35.04	C_modesta	1895	03/08/2021
35.02	C_modesta	1895	03/08/2021
34.98	C_modesta	1895	03/08/2021
34.9	C_modesta	1895	03/08/2021
34.98	C_modesta	1895	03/08/2021
34.92	C_modesta	1895	03/08/2021
34.99	C_modesta	1895	03/08/2021
35.08	C_modesta	1895	03/08/2021
35.01	C_modesta	1895	03/08/2021
35.19	C_modesta	1895	03/08/2021
35.12	C_modesta	1895	03/08/2021
35.12	C_modesta	1895	03/08/2021
35.24	C_modesta	1895	03/08/2021
35.2	C_modesta	1895	03/08/2021
35.22	C_modesta	1895	03/08/2021
35.33	C_modesta	1895	03/08/2021
35.32	C_modesta	1895	03/08/2021
40.3	A_ocellifera	1894	03/08/2021
39.84	A_ocellifera	1894	03/08/2021
39.96	A_ocellifera	1894	03/08/2021
40.9	A_ocellifera	1894	03/08/2021
41.4	A_ocellifera	1894	03/08/2021
41.37	A_ocellifera	1894	03/08/2021
41.88	A_ocellifera	1894	03/08/2021
42.11	A_ocellifera	1894	03/08/2021
40.62	A_ocellifera	1894	03/08/2021
40.01	A_ocellifera	1894	03/08/2021
39.92	A_ocellifera	1894	03/08/2021
39.62	A_ocellifera	1894	03/08/2021
39.35	A_ocellifera	1894	03/08/2021
39.09	A_ocellifera	1894	03/08/2021
38.9	A_ocellifera	1894	03/08/2021
38.75	A_ocellifera	1894	03/08/2021
38.6	A_ocellifera	1894	03/08/2021
38.48	A_ocellifera	1894	03/08/2021
38.37	A_ocellifera	1894	03/08/2021
38.44	A_ocellifera	1894	03/08/2021
39.15	A_ocellifera	1894	03/08/2021
39.77	A_ocellifera	1894	03/08/2021
39.48	A_ocellifera	1894	03/08/2021
39.13	A_ocellifera	1894	03/08/2021
39.03	A_ocellifera	1894	03/08/2021
38.87	A_ocellifera	1894	03/08/2021
38.73	A_ocellifera	1894	03/08/2021
38.61	A_ocellifera	1894	03/08/2021
38.48	A_ocellifera	1894	03/08/2021
38.4	A_ocellifera	1894	03/08/2021
38.31	A_ocellifera	1894	03/08/2021
38.25	A_ocellifera	1894	03/08/2021
38.34	A_ocellifera	1894	03/08/2021
39.11	A_ocellifera	1894	03/08/2021
39.67	A_ocellifera	1894	03/08/2021
40.12	A_ocellifera	1894	03/08/2021
39.9	A_ocellifera	1894	03/08/2021
40.65	A_ocellifera	1894	03/08/2021
41.08	A_ocellifera	1894	03/08/2021
40.46	A_ocellifera	1894	03/08/2021
40.55	A_ocellifera	1894	03/08/2021
40.68	A_ocellifera	1894	03/08/2021
41.08	A_ocellifera	1894	03/08/2021
40.82	A_ocellifera	1894	03/08/2021
40.83	A_ocellifera	1894	03/08/2021
40.92	A_ocellifera	1894	03/08/2021
40.96	A_ocellifera	1894	03/08/2021
41.04	A_ocellifera	1894	03/08/2021
41.1	A_ocellifera	1894	03/08/2021
41.17	A_ocellifera	1894	03/08/2021
41.26	A_ocellifera	1894	03/08/2021
41.33	A_ocellifera	1894	03/08/2021
41.39	A_ocellifera	1894	03/08/2021
41.54	A_ocellifera	1894	03/08/2021
41.73	A_ocellifera	1894	03/08/2021
41.73	A_ocellifera	1894	03/08/2021
41.73	A_ocellifera	1894	03/08/2021
41.74	A_ocellifera	1894	03/08/2021
41.75	A_ocellifera	1894	03/08/2021
41.74	A_ocellifera	1894	03/08/2021
37.14	T_oreadicus	1398	03/08/2021
35.15	T_oreadicus	1398	03/08/2021
34.21	T_oreadicus	1398	03/08/2021
33.45	T_oreadicus	1398	03/08/2021
32.82	T_oreadicus	1398	03/08/2021
32.18	T_oreadicus	1398	03/08/2021
31.63	T_oreadicus	1398	03/08/2021
31.28	T_oreadicus	1398	03/08/2021
30.73	T_oreadicus	1398	03/08/2021
30.27	T_oreadicus	1398	03/08/2021
29.91	T_oreadicus	1398	03/08/2021
29.58	T_oreadicus	1398	03/08/2021
29.22	T_oreadicus	1398	03/08/2021
28.88	T_oreadicus	1398	03/08/2021
28.66	T_oreadicus	1398	03/08/2021
