plot	trap	lat	long	local
T	1	-10.148120	-48.204961	PEL
T	2	-10.147986	-48.205284	PEL
T	3	-10.147865	-48.205505	PEL
T	4	-10.147734	-48.205792	PEL
T	5	-10.147547	-48.205984	PEL
T	6	-10.147364	-48.206186	PEL
T	7	-10.147186	-48.206430	PEL
T	8	-10.147028	-48.206669	PEL
T	9	-10.146945	-48.206935	PEL
T	10	-10.146934	-48.207160	PEL
T	11	-10.146777	-48.207517	PEL
T	12	-10.146691	-48.207758	PEL
T	13	-10.146627	-48.207985	PEL
T	14	-10.146519	-48.208261	PEL
T	15	-10.146431	-48.208493	PEL
T	16	-10.146227	-48.208701	PEL
T	17	-10.146114	-48.208941	PEL
T	18	-10.145973	-48.209221	PEL
T	19	-10.145828	-48.209486	PEL
T	20	-10.145674	-48.209646	PEL
T	21	-10.145484	-48.209605	PEL
T	22	-10.145174	-48.209613	PEL
T	23	-10.144906	-48.209634	PEL
T	24	-10.144651	-48.209810	PEL
T	25	-10.144509	-48.209998	PEL
