parcela	armadilha	lat	long	local
T	1	-10.148120	-48.204961	PEL
T	2	-10.147986	-48.205284	PEL
T	3	-10.147865	-48.205505	PEL
T	4	-10.147734	-48.205792	PEL
T	5	-10.147547	-48.205984	PEL
T	6	-10.147364	-48.206186	PEL
T	7	-10.147186	-48.206430	PEL
T	8	-10.147028	-48.206669	PEL
T	9	-10.146945	-48.206935	PEL
T	10	-10.146934	-48.207160	PEL
T	11	-10.146777	-48.207517	PEL
T	12	-10.146691	-48.207758	PEL
T	13	-10.146627	-48.207985	PEL
T	14	-10.146519	-48.208261	PEL
T	15	-10.146431	-48.208493	PEL
T	16	-10.146227	-48.208701	PEL
T	17	-10.146114	-48.208941	PEL
T	18	-10.145973	-48.209221	PEL
T	19	-10.145828	-48.209486	PEL
T	20	-10.145674	-48.209646	PEL
T	21	-10.145484	-48.209605	PEL
T	22	-10.145174	-48.209613	PEL
T	23	-10.144906	-48.209634	PEL
T	24	-10.144651	-48.209810	PEL
T	25	-10.144509	-48.209998	PEL
QT	12	-11.127841	-46.736383	EESGT
QT	11	-11.127448	-46.736429	EESGT
QT	10	-11.127496	-46.736773	EESGT
QT	9	-11.127182	-46.736936	EESGT
QT	8	-11.127309	-46.737253	EESGT
QT	7	-11.126970	-46.737409	EESGT
QT	6	-11.127135	-46.737725	EESGT
QT	5	-11.126830	-46.737820	EESGT
QT	4	-11.126750	-46.738111	EESGT
QT	3	-11.126406	-46.738202	EESGT
QT	2	-11.126405	-46.738502	EESGT
C2	1	-11.126046	-46.738660	EESGT
C2	1	-11.108882	-46.776822	EESGT
C2	2	-11.108576	-46.776923	EESGT
C2	3	-11.108562	-46.777203	EESGT
C2	4	-11.108202	-46.777345	EESGT
C2	5	-11.108155	-46.777659	EESGT
C2	6	-11.107845	-46.777622	EESGT
C2	7	-11.107801	-46.778093	EESGT
C2	8	-11.107449	-46.778130	EESGT
C2	9	-11.107417	-46.778458	EESGT
C2	10	-11.107078	-46.778468	EESGT
C2	11	-11.107034	-46.778853	EESGT
C2	12	-11.106699	-46.779053	EESGT
C1	1	-11.115006	-46.787155	EESGT
C1	2	-11.114710	-46.787031	EESGT
C1	3	-11.114428	-46.787320	EESGT
C1	4	-11.114115	-46.787193	EESGT
C1	5	-11.113908	-46.787518	EESGT
C1	6	-11.113484	-46.787324	EESGT
C1	7	-11.113322	-46.787638	EESGT
C1	8	-11.112989	-46.787483	EESGT
C1	9	-11.112820	-46.787830	EESGT
C1	10	-11.112436	-46.787803	EESGT
C1	11	-11.112365	-46.788079	EESGT
C1	12	-11.111893	-46.787984	EESGT
QP	1	-11.176192	-46.841443	EESGT
QP	2	-11.175947	-46.841764	EESGT
QP	3	-11.176036	-46.842150	EESGT
QP	4	-11.175740	-46.842225	EESGT
QP	5	-11.175760	-46.842608	EESGT
QP	6	-11.175461	-46.842739	EESGT
QP	7	-11.175497	-46.843079	EESGT
QP	8	-11.175273	-46.843208	EESGT
QP	9	-11.175206	-46.843612	EESGT
QP	10	-11.174915	-46.843739	EESGT
QP	11	-11.174932	-46.844019	EESGT
QP	12	-11.174597	-46.844188	EESGT
BM	31	-15.933908	-47.870864	RECOR_FOGO
BM	32	-15.933886	-47.870636	RECOR_FOGO
BM	33	-15.933717	-47.870489	RECOR_FOGO
BM	34	-15.933650	-47.870290	RECOR_FOGO
BM	35	-15.933566	-47.870099	RECOR_FOGO
BM	36	-15.933707	-47.869931	RECOR_FOGO
