temp	sp	pel	date
37.14	T_oreadicus	1398	03/08/2021
35.15	T_oreadicus	1398	03/08/2021
34.21	T_oreadicus	1398	03/08/2021
33.45	T_oreadicus	1398	03/08/2021
32.82	T_oreadicus	1398	03/08/2021
32.18	T_oreadicus	1398	03/08/2021
31.63	T_oreadicus	1398	03/08/2021
31.28	T_oreadicus	1398	03/08/2021
30.73	T_oreadicus	1398	03/08/2021
30.27	T_oreadicus	1398	03/08/2021
29.91	T_oreadicus	1398	03/08/2021
29.58	T_oreadicus	1398	03/08/2021
29.22	T_oreadicus	1398	03/08/2021
28.88	T_oreadicus	1398	03/08/2021
28.66	T_oreadicus	1398	03/08/2021
28.48	T_oreadicus	1398	03/08/2021
28.28	T_oreadicus	1398	03/08/2021
28.11	T_oreadicus	1398	03/08/2021
28.04	T_oreadicus	1398	03/08/2021
28.01	T_oreadicus	1398	03/08/2021
27.86	T_oreadicus	1398	03/08/2021
27.83	T_oreadicus	1398	03/08/2021
27.96	T_oreadicus	1398	03/08/2021
27.98	T_oreadicus	1398	03/08/2021
27.97	T_oreadicus	1398	03/08/2021
27.97	T_oreadicus	1398	03/08/2021
27.94	T_oreadicus	1398	03/08/2021
27.96	T_oreadicus	1398	03/08/2021
27.96	T_oreadicus	1398	03/08/2021
27.97	T_oreadicus	1398	03/08/2021
27.94	T_oreadicus	1398	03/08/2021
27.97	T_oreadicus	1398	03/08/2021
28	T_oreadicus	1398	03/08/2021
28.01	T_oreadicus	1398	03/08/2021
28.17	T_oreadicus	1398	03/08/2021
28.26	T_oreadicus	1398	03/08/2021
28.33	T_oreadicus	1398	03/08/2021
28.42	T_oreadicus	1398	03/08/2021
28.48	T_oreadicus	1398	03/08/2021
28.65	T_oreadicus	1398	03/08/2021
28.71	T_oreadicus	1398	03/08/2021
28.78	T_oreadicus	1398	03/08/2021
28.84	T_oreadicus	1398	03/08/2021
28.85	T_oreadicus	1398	03/08/2021
28.96	T_oreadicus	1398	03/08/2021
29.05	T_oreadicus	1398	03/08/2021
29.11	T_oreadicus	1398	03/08/2021
29.2	T_oreadicus	1398	03/08/2021
29.3	T_oreadicus	1398	03/08/2021
29.44	T_oreadicus	1398	03/08/2021
29.58	T_oreadicus	1398	03/08/2021
29.69	T_oreadicus	1398	03/08/2021
29.74	T_oreadicus	1398	03/08/2021
32.02	T_oreadicus	1398	03/08/2021
35.89	T_oreadicus	1398	03/08/2021
36.71	T_oreadicus	1398	03/08/2021
36.54	T_oreadicus	1398	03/08/2021
37.12	T_oreadicus	1398	03/08/2021
37.59	T_oreadicus	1398	03/08/2021
38.32	T_oreadicus	1398	03/08/2021
33.19	T_oreadicus	1902	03/08/2021
33.34	T_oreadicus	1902	03/08/2021
33.43	T_oreadicus	1902	03/08/2021
33.49	T_oreadicus	1902	03/08/2021
33.53	T_oreadicus	1902	03/08/2021
33.63	T_oreadicus	1902	03/08/2021
33.78	T_oreadicus	1902	03/08/2021
33.86	T_oreadicus	1902	03/08/2021
34.05	T_oreadicus	1902	03/08/2021
34	T_oreadicus	1902	03/08/2021
34.01	T_oreadicus	1902	03/08/2021
34.09	T_oreadicus	1902	03/08/2021
34.17	T_oreadicus	1902	03/08/2021
34.22	T_oreadicus	1902	03/08/2021
34.43	T_oreadicus	1902	03/08/2021
34.64	T_oreadicus	1902	03/08/2021
34.66	T_oreadicus	1902	03/08/2021
34.59	T_oreadicus	1902	03/08/2021
34.71	T_oreadicus	1902	03/08/2021
34.72	T_oreadicus	1902	03/08/2021
34.6	T_oreadicus	1902	03/08/2021
34.66	T_oreadicus	1902	03/08/2021
34.72	T_oreadicus	1902	03/08/2021
34.72	T_oreadicus	1902	03/08/2021
34.73	T_oreadicus	1902	03/08/2021
34.85	T_oreadicus	1902	03/08/2021
34.93	T_oreadicus	1902	03/08/2021
35.04	T_oreadicus	1902	03/08/2021
35	T_oreadicus	1902	03/08/2021
34.99	T_oreadicus	1902	03/08/2021
35.16	T_oreadicus	1902	03/08/2021
35.13	T_oreadicus	1902	03/08/2021
35.11	T_oreadicus	1902	03/08/2021
35.08	T_oreadicus	1902	03/08/2021
35.14	T_oreadicus	1902	03/08/2021
35.07	T_oreadicus	1902	03/08/2021
35.08	T_oreadicus	1902	03/08/2021
35.04	T_oreadicus	1902	03/08/2021
35.12	T_oreadicus	1902	03/08/2021
35.32	T_oreadicus	1902	03/08/2021
35.16	T_oreadicus	1902	03/08/2021
35.13	T_oreadicus	1902	03/08/2021
35.19	T_oreadicus	1902	03/08/2021
35.13	T_oreadicus	1902	03/08/2021
35.06	T_oreadicus	1902	03/08/2021
34.9	T_oreadicus	1902	03/08/2021
35.07	T_oreadicus	1902	03/08/2021
34.97	T_oreadicus	1902	03/08/2021
35.64	T_oreadicus	1902	03/08/2021
35.04	T_oreadicus	1902	03/08/2021
35.11	T_oreadicus	1902	03/08/2021
35.13	T_oreadicus	1902	03/08/2021
35.28	T_oreadicus	1902	03/08/2021
35.18	T_oreadicus	1902	03/08/2021
35.19	T_oreadicus	1902	03/08/2021
35.3	T_oreadicus	1902	03/08/2021
35.29	T_oreadicus	1902	03/08/2021
35.31	T_oreadicus	1902	03/08/2021
35.32	T_oreadicus	1902	03/08/2021
35.31	T_oreadicus	1902	03/08/2021
33.37	T_oreadicus	1770	03/08/2021
33.3	T_oreadicus	1770	03/08/2021
33.36	T_oreadicus	1770	03/08/2021
33.15	T_oreadicus	1770	03/08/2021
34	T_oreadicus	1770	03/08/2021
33.45	T_oreadicus	1770	03/08/2021
31.81	T_oreadicus	1770	03/08/2021
28.35	T_oreadicus	1770	03/08/2021
30.58	T_oreadicus	1770	03/08/2021
34.13	T_oreadicus	1770	03/08/2021
33.88	T_oreadicus	1770	03/08/2021
34.02	T_oreadicus	1770	03/08/2021
31.82	T_oreadicus	1770	03/08/2021
34.76	T_oreadicus	1770	03/08/2021
34.5	T_oreadicus	1770	03/08/2021
35	T_oreadicus	1770	03/08/2021
34.53	T_oreadicus	1770	03/08/2021
34.3	T_oreadicus	1770	03/08/2021
33.39	T_oreadicus	1770	03/08/2021
23.7	T_oreadicus	1770	03/08/2021
25.02	T_oreadicus	1770	03/08/2021
11.02	T_oreadicus	1770	03/08/2021
1.27	T_oreadicus	1770	03/08/2021
18.3	T_oreadicus	1770	03/08/2021
26.16	T_oreadicus	1770	03/08/2021
31.73	T_oreadicus	1770	03/08/2021
NA	T_oreadicus	1770	03/08/2021
33.1	T_oreadicus	1770	03/08/2021
35.18	T_oreadicus	1770	03/08/2021
35.58	T_oreadicus	1770	03/08/2021
35.11	T_oreadicus	1770	03/08/2021
27.36	T_oreadicus	1770	03/08/2021
24.07	T_oreadicus	1770	03/08/2021
23.89	T_oreadicus	1770	03/08/2021
32.19	T_oreadicus	1770	03/08/2021
23.41	T_oreadicus	1770	03/08/2021
18.9	T_oreadicus	1770	03/08/2021
29.2	T_oreadicus	1770	03/08/2021
29.89	T_oreadicus	1770	03/08/2021
22.36	T_oreadicus	1770	03/08/2021
29.24	T_oreadicus	1770	03/08/2021
37.13	T_oreadicus	1770	03/08/2021
32.43	T_oreadicus	1770	03/08/2021
29.4	T_oreadicus	1770	03/08/2021
35.22	T_oreadicus	1770	03/08/2021
33.69	T_oreadicus	1770	03/08/2021
25.67	T_oreadicus	1770	03/08/2021
30.76	T_oreadicus	1770	03/08/2021
27.29	T_oreadicus	1770	03/08/2021
29.23	T_oreadicus	1770	03/08/2021
