species	run	temp	PEL	veloc	acel	sex	SVL	TL	TB
T_oreadicus	1	26	1404	NA	NA	I	40	49	42
T_oreadicus	1	26	1404	2.02E+00	NA	I	40	49	42
T_oreadicus	1	26	1404	1.62E+00	6.64E+00	I	40	49	42
T_oreadicus	1	26	1404	1.67E+00	1.82E+00	I	40	49	42
T_oreadicus	1	26	1404	1.62E+00	3.39E+00	I	40	49	42
T_oreadicus	1	26	1404	1.39E+00	6.97E+00	I	40	49	42
T_oreadicus	1	26	1404	1.25E+00	9.39E+00	I	40	49	42
T_oreadicus	1	26	1404	1.05E+00	8.78E+00	I	40	49	42
T_oreadicus	1	26	1404	8.20E-01	1.13E+01	I	40	49	42
T_oreadicus	1	26	1404	2.98E-01	1.06E+01	I	40	49	42
T_oreadicus	1	26	1404	4.76E-02	4.56E+00	I	40	49	42
T_oreadicus	1	26	1404	6.73E-02	5.77E-01	I	40	49	42
T_oreadicus	1	26	1404	2.38E-02	1.02E+00	I	40	49	42
T_oreadicus	1	26	1404	0.00E+00	4.08E-01	I	40	49	42
T_oreadicus	1	26	1404	0.00E+00	0.00E+00	I	40	49	42
T_oreadicus	1	26	1404	0.00E+00	0.00E+00	I	40	49	42
T_oreadicus	1	26	1404	0.00E+00	0.00E+00	I	40	49	42
T_oreadicus	1	26	1404	0.00E+00	0.00E+00	I	40	49	42
T_oreadicus	1	26	1404	0.00E+00	0.00E+00	I	40	49	42
T_oreadicus	1	26	1404	0.00E+00	7.26E+00	I	40	49	42
T_oreadicus	1	26	1404	4.24E-01	9.84E+00	I	40	49	42
T_oreadicus	1	26	1404	7.85E-01	1.20E+01	I	40	49	42
T_oreadicus	1	26	1404	9.76E-01	1.07E+01	I	40	49	42
T_oreadicus	1	26	1404	1.26E+00	6.96E+00	I	40	49	42
T_oreadicus	1	26	1404	1.33E+00	5.88E+00	I	40	49	42
T_oreadicus	1	26	1404	1.62E+00	6.73E+00	I	40	49	42
T_oreadicus	1	26	1404	1.76E+00	1.29E+00	I	40	49	42
T_oreadicus	1	26	1404	1.67E+00	5.57E+00	I	40	49	42
T_oreadicus	1	26	1404	1.41E+00	5.91E+00	I	40	49	42
T_oreadicus	1	26	1404	1.38E+00	3.38E+00	I	40	49	42
T_oreadicus	1	26	1404	1.42E+00	1.37E+00	I	40	49	42
T_oreadicus	1	26	1404	1.30E+00	7.18E+00	I	40	49	42
T_oreadicus	2	26	1404	NA	NA	I	40	49	42
T_oreadicus	2	26	1404	1.66E+00	NA	I	40	49	42
T_oreadicus	2	26	1404	1.58E+00	8.18E+00	I	40	49	42
T_oreadicus	2	26	1404	1.47E+00	6.34E+00	I	40	49	42
T_oreadicus	2	26	1404	1.26E+00	7.71E+00	I	40	49	42
